asof,S,r,q,T,K,type,mid,bid,ask,volume,openInterest,expiration
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,350.0,C,61.825,60.3,63.35,3.0,8.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,360.0,C,51.900000000000006,50.35,53.45,2.0,3.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,365.0,C,46.925,45.45,48.4,1.0,2.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,370.0,C,41.925,41.25,42.6,3.0,24.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,375.0,C,37.075,35.95,38.2,2.0,61.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,377.5,C,34.5,33.9,35.1,8.0,8.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,380.0,C,31.725,30.75,32.7,66.0,77.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,382.5,C,29.65,28.7,30.6,1.0,9.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,385.0,C,27.125,26.3,27.95,34.0,36.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,387.5,C,24.7,24.0,25.4,30.0,49.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,390.0,C,22.3,21.85,22.75,5433.0,93.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,392.5,C,19.825,19.4,20.25,47.0,181.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,395.0,C,17.475,17.15,17.8,2362.0,183.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,397.5,C,15.05,14.75,15.35,458.0,277.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,400.0,C,12.825,12.6,13.05,47599.0,826.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,402.5,C,10.625,10.35,10.9,2545.0,348.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,405.0,C,8.575,8.5,8.65,4446.0,695.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,407.5,C,6.699999999999999,6.6,6.8,9121.0,644.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,410.0,C,5.074999999999999,5.05,5.1,33186.0,1063.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,412.5,C,3.625,3.55,3.7,18432.0,1191.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,415.0,C,2.45,2.41,2.49,21478.0,1871.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,417.5,C,1.59,1.56,1.62,10043.0,1067.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,420.0,C,0.995,0.99,1.0,19978.0,1948.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,422.5,C,0.58,0.57,0.59,9273.0,738.0,2026-02-23
2026-02-21,411.82000732421875,0.03,0.0,0.0036405454186960932,425.0,C,0.33,0.33,0.33,12564.0,1923.0,2026-02-23
